artifact;repo
org.apache.solr:solr-velocity;https://gitbox.apache.org/repos/asf/lucene-solr
org.apache.ant:ant-junitlauncher;https://gitbox.apache.org/repos/asf/ant
org.apache.cxf:cxf-core;https://gitbox.apache.org/repos/asf/cxf
org.apache.cxf:cxf-rt-frontend-jaxws;https://gitbox.apache.org/repos/asf/cxf
org.apache.xbean:xbean-spring;https://gitbox.apache.org/repos/asf/geronimo-xbean
org.apache.accumulo:accumulo-shell;https://gitbox.apache.org/repos/asf/accumulo
org.apache.bcel:bcel;https://gitbox.apache.org/repos/asf/commons-bcel
org.apache.commons:commons-rng-sampling;https://gitbox.apache.org/repos/asf/commons-rng
org.apache.lucene:lucene-analyzers-kuromoji;https://gitbox.apache.org/repos/asf/lucene-solr
org.apache.lucene:lucene-analyzers-phonetic;https://gitbox.apache.org/repos/asf/lucene-solr
org.apache.lucene:lucene-codecs;https://gitbox.apache.org/repos/asf/lucene
org.apache.lucene:lucene-expressions;https://gitbox.apache.org/repos/asf/lucene
org.apache.lucene:lucene-grouping;https://gitbox.apache.org/repos/asf/lucene
org.apache.lucene:lucene-join;https://gitbox.apache.org/repos/asf/lucene
org.apache.lucene:lucene-memory;https://gitbox.apache.org/repos/asf/lucene
org.apache.lucene:lucene-misc;https://gitbox.apache.org/repos/asf/lucene
org.apache.lucene:lucene-spatial;https://gitbox.apache.org/repos/asf/lucene-solr
org.apache.lucene:lucene-suggest;https://gitbox.apache.org/repos/asf/lucene
org.apache.sis.core:sis-referencing;https://gitbox.apache.org/repos/asf/sis
org.apache.commons:commons-imaging;https://gitbox.apache.org/repos/asf/commons-imaging
org.apache.santuario:xmlsec;https://gitbox.apache.org/repos/asf/santuario-xml-security-java
org.apache.solr:solr-cell;https://gitbox.apache.org/repos/asf/lucene-solr
org.apache.solr:solr-langid;https://gitbox.apache.org/repos/asf/solr
org.apache.cassandra:cassandra-thrift;https://gitbox.apache.org/repos/asf/cassandra
org.apache.hbase:hbase-hadoop-compat;https://gitbox.apache.org/repos/asf/hbase.git/hbase-build-configuration/hbase-hadoop-compat
org.apache.hbase:hbase-hadoop2-compat;https://gitbox.apache.org/repos/asf/hbase.git/hbase-build-configuration/hbase-hadoop2-compat
org.apache.hbase:hbase-protocol;https://gitbox.apache.org/repos/asf/hbase.git/hbase-build-configuration/hbase-protocol
org.apache.felix:org.apache.felix.framework;https://gitbox.apache.org/repos/asf/felix-dev
org.apache.jena:jena-querybuilder;https://gitbox.apache.org/repos/asf/jena
org.apache.commons:commons-statistics-distribution;https://gitbox.apache.org/repos/asf/commons-statistics
org.apache.cxf:cxf-rt-frontend-jaxrs;https://gitbox.apache.org/repos/asf/cxf
org.apache.cxf:cxf-rt-transports-local;https://gitbox.apache.org/repos/asf/cxf
org.apache.commons:commons-jexl3;https://gitbox.apache.org/repos/asf/commons-jexl
org.apache.cxf:cxf-rt-transports-http-jetty;https://gitbox.apache.org/repos/asf/cxf
org.apache.cxf:cxf-rt-ws-security;https://gitbox.apache.org/repos/asf/cxf
org.apache.kylin:kylin-jdbc;https://gitbox.apache.org/repos/asf/kylin
org.apache.velocity.tools:velocity-tools-generic;https://gitbox.apache.org/repos/asf/velocity-tools
org.apache.cxf:cxf-rt-ws-policy;https://gitbox.apache.org/repos/asf/cxf
org.apache.lucene:lucene-analyzers-smartcn;https://gitbox.apache.org/repos/asf/lucene-solr
org.apache.ignite:ignite-slf4j;https://gitbox.apache.org/repos/asf/ignite.git/ignite-parent-internal/ignite-slf4j
org.apache.lucene:lucene-backward-codecs;https://gitbox.apache.org/repos/asf/lucene
org.apache.lucene:lucene-test-framework;https://gitbox.apache.org/repos/asf/lucene
org.apache.lucene:lucene-analysis-common;https://gitbox.apache.org/repos/asf/lucene
org.apache.commons:commons-crypto;https://gitbox.apache.org/repos/asf/commons-crypto
org.apache.xbean:xbean-asm9-shaded;https://gitbox.apache.org/repos/asf/geronimo-xbean
org.apache.felix:org.apache.felix.eventadmin;https://gitbox.apache.org/repos/asf/felix-dev
org.apache.felix:org.apache.felix.log;https://gitbox.apache.org/repos/asf/felix-dev
org.apache.hbase:hbase-mapreduce;https://gitbox.apache.org/repos/asf/hbase.git/hbase-build-configuration/hbase-mapreduce
org.apache.lucene:lucene-parent;https://gitbox.apache.org/repos/asf/lucene-solr
org.apache.felix:org.apache.felix.main;https://gitbox.apache.org/repos/asf/felix-dev
org.apache.commons:commons-vfs2;https://gitbox.apache.org/repos/asf/commons-vfs
org.apache.felix:org.apache.felix.configadmin;https://gitbox.apache.org/repos/asf/felix-dev
org.apache.felix:org.apache.felix.fileinstall;https://gitbox.apache.org/repos/asf/felix-dev
org.apache.felix:org.apache.felix.gogo.command;https://gitbox.apache.org/repos/asf/felix-dev
org.apache.felix:org.apache.felix.gogo.runtime;https://gitbox.apache.org/repos/asf/felix-dev
org.apache.felix:org.apache.felix.gogo.shell;https://gitbox.apache.org/repos/asf/felix-dev
org.apache.felix:org.apache.felix.http.jetty;https://gitbox.apache.org/repos/asf/felix-dev
org.apache.felix:org.apache.felix.http.servlet-api;https://gitbox.apache.org/repos/asf/felix-dev
org.apache.beam:beam-runners-direct-java;https://gitbox.apache.org/repos/asf/beam
org.apache.beam:beam-sdks-java-core;https://gitbox.apache.org/repos/asf/beam
org.apache.xbean:xbean-reflect;https://gitbox.apache.org/repos/asf/geronimo-xbean
org.apache.aries.spifly:org.apache.aries.spifly.dynamic.bundle;https://gitbox.apache.org/repos/asf/aries
javax.jdo:jdo-api;https://gitbox.apache.org/repos/asf/db-jdo
org.apache.bval:bval-jsr;https://gitbox.apache.org/repos/asf/bval
org.apache.cxf:cxf;https://gitbox.apache.org/repos/asf/cxf
org.apache.qpid:qpid-client;https://gitbox.apache.org/repos/asf/qpid-jms-amqp-0-x
org.apache.xbean:xbean;https://gitbox.apache.org/repos/asf/geronimo-xbean
org.apache.aries.proxy:org.apache.aries.proxy;https://gitbox.apache.org/repos/asf?p=aries.git
org.apache.ant:ant-apache-regexp;https://gitbox.apache.org/repos/asf/ant
org.apache.myfaces.core:myfaces-api;https://gitbox.apache.org/repos/asf/myfaces-master-pom
org.apache.myfaces.core:myfaces-impl;https://gitbox.apache.org/repos/asf/myfaces-master-pom
org.apache.ignite:ignite-core;https://gitbox.apache.org/repos/asf/ignite.git/ignite-parent-internal/ignite-core
org.apache.aries.blueprint:org.apache.aries.blueprint.core;https://gitbox.apache.org/repos/asf/aries
org.apache.jena:jena-cmds;https://gitbox.apache.org/repos/asf/jena
org.apache.cxf:cxf-rt-features-logging;https://gitbox.apache.org/repos/asf/cxf
org.apache.cxf:cxf-rt-rs-extension-providers;https://gitbox.apache.org/repos/asf/cxf
org.apache.cxf:cxf-rt-rs-security-cors;https://gitbox.apache.org/repos/asf/cxf
org.apache.cxf:cxf-rt-rs-service-description;https://gitbox.apache.org/repos/asf/cxf
org.apache.cxf:cxf-rt-rs-service-description-openapi-v3;https://gitbox.apache.org/repos/asf/cxf
org.apache.cxf:cxf-spring-boot-starter-jaxrs;https://gitbox.apache.org/repos/asf/cxf
org.apache.commons:commons-email2-jakarta;https://gitbox.apache.org/repos/asf/commons-email
org.apache.cxf:cxf-wadl2java-plugin;https://gitbox.apache.org/repos/asf/cxf
org.apache.cxf:cxf-rt-rs-json-basic;https://gitbox.apache.org/repos/asf/cxf
org.apache.cxf:cxf-rt-rs-extension-search;https://gitbox.apache.org/repos/asf/cxf
commons-jxpath:commons-jxpath;https://gitbox.apache.org/repos/asf/commons-jxpath
org.apache.beam:beam-sdks-java-io-google-cloud-platform;https://gitbox.apache.org/repos/asf/beam
org.apache.axis2:axis2-adb;https://gitbox.apache.org/repos/asf/axis-axis2-java-core
org.apache.axis2:axis2-jaxws;https://gitbox.apache.org/repos/asf/axis-axis2-java-core
org.apache.axis2:axis2-kernel;https://gitbox.apache.org/repos/asf/axis-axis2-java-core
org.apache.axis2:axis2-transport-http;https://gitbox.apache.org/repos/asf/axis-axis2-java-core
org.apache.axis2:axis2-transport-local;https://gitbox.apache.org/repos/asf/axis-axis2-java-core
org.apache.axis2:mex;https://gitbox.apache.org/repos/asf/axis-axis2-java-core
org.apache.beam:beam-sdks-java-extensions-sql;https://gitbox.apache.org/repos/asf/beam
