artifact;repository
xmlbeans:xbean;unknown
xml-security:xml-security;unknown
xdoclet-plugins:xdoclet-plugin-xwork;unknown
xfire:xfire-xmlbeans;unknown
xdoclet:xdoclet-oracle-module;unknown
xpp3:xpp3;unknown
velocity:anakia;unknown
werkflow:werkflow;unknown
xdoclet-plugins:xdoclet-sample-web;unknown
xdoclet-plugins:xdoclet-plugin-plugin;unknown
xfire:xfire-core;unknown
xdoclet:xdoclet-xjavadoc;unknown
vn.viettelmaps.vtmsdk:vtmap-android-services-route-tiles;unknown
xdoclet-plugins:xdoclet-testapp-web;unknown
vn.viettelmaps.vtmsdk:vtmap-android-navigation;unknown
xdoclet-plugins:xdoclet-plugin-beaninfo;unknown
xyz.cofe:jacob;unknown
xdoclet:xjavadoc;unknown
vn.viettelmaps.vtmsdk:vtmap-android-core;unknown
xfire:xfire-java;unknown
xdoclet-plugins:xdoclet-testapp-pojo;unknown
xyz.cofe:udp-atom;unknown
xdoclet-plugins:xdoclet-plugin-qtags;unknown
xdoclet:xdoclet-pramati-module;unknown
us.ihmc:jme3-lwjgl;unknown
wadi:wadi-test-webapp;unknown
xdoclet-plugins:xdoclet-plugin-externalizer;unknown
xdoclet:xdoclet-java-module;unknown
vn.viettelmaps.vtmsdk:vtmap-android-services-directions-refresh;unknown
xdoclet-plugins:xdoclet-plugin-jmx;unknown
xfire:jaxws-api;unknown
xdoclet-plugins:xdoclet-plugin-struts;unknown
xdoclet:maven2-xdoclet2-plugin;unknown
xalan:xalansamples;unknown
xdoclet:xdoclet-sybase-module;unknown
xdoclet-plugins:xdoclet-plugin-portlet;unknown
ymsg:ymsg-support;unknown
yan:jfunutil;unknown
ymsg:ymsg-network;unknown
xdoclet:xdoclet-portlet-module;unknown
xdoclet-plugins:xdoclet-plugin-webwork;unknown
velocity-tools:velocity-tools-generic;unknown
woodstox:wstx-lgpl;unknown
xmlrpc:xmlrpc;unknown
xfire:saaj-api;unknown
xbean:xbean-jmx;unknown
