artifact,done
com.pojosontheweb:woko-asyncjobs-web,true
com.pep1.jira:jira-spring-boot-client-starter,true
com.pojosontheweb:woko-tinymce-editor,true
com.pingcap.tispark:spark-wrapper-spark-3.1_2.12,true
com.pcistudio:task-processor-sample,true
com.playtika.testcontainers:embedded-mariadb,true
com.pig4cloud.plugin:datav-designer-ui,true
com.pippsford:SecurePRNG-core,true
com.peterphi.std.util.carbon:carbon-client,true
com.pojosontheweb:woko-webtests-common,true
com.phonepe.sentinel-ai:sentinel-ai-toolbox-remote-http,true
com.pig4cloud.plugin:ureport-spring-boot-starter,true
com.pkrete.xrd4j:common,true
com.piesoftsol.oneservice.common:jwt-gen,true
com.pinterest.memq:memq-examples,true
com.pontusvision:janusgraph-codepipelines-ci,true
com.playtika.testcontainers:embedded-wiremock,true
com.peterlavalle:libgdx-degen.root,true
com.pocketcombats.spring-jpa-admin:plugin,true
com.playtika.reactivefeign:feign-reactor-spring-configuration,true
com.plumelog:plumelog-log4j,true
com.pojosontheweb:woko-core,true
com.pcistudio:simple-kms-spring,true
com.pep1:pep1-commons-rest,true
com.playtika.janusgraph:aerospike-storage-backend,true
com.pig4cloud.redis:redis-search-boot-starter-parent,true
com.phasebash.jsdoc:jsdoc3-rhino,true
com.pig4cloud.plugin:license-client,true
com.peertopark.java:phoneutils,true
com.peluware:freddy-cruder-reactive-core,true
com.pippsford:SecurePRNG-utilities,true
com.playtika.testcontainers:testcontainers-spring-boot-bom,true
com.phandorax:transaction-id,true
com.phonepe.drove:drove-common,true
com.playtika.testcontainers:embedded-google-pubsub,true
com.phandorax:exception-mapper-deployment,true
com.pnxtest:pnx-test-dependencies,true
com.phonepe.drove:drove-controller,true
com.polarcoral.monica:monica-configuration,true
com.polarcoral.monica:monica-files-socket,true
com.pongr:greymatter_2.8.1,true
com.peluware:omni-search-jpa-commons,true
com.pholser:lambspec-hamcrest,true
com.peterphi.std:stdlib-rules,true
com.pig4cloud:pigx-common,true
com.pojosontheweb:ttt-runtime,true
com.pojosontheweb:ttt-core,true
com.phonepe.drove:drove-ignite-discovery,true
com.pinterest.singer:thrift-logger,true
com.piggsoft:beetl-spring-boot-starter,true
com.pocketcombats.spring-jpa-admin:plugin.auth,true
com.playtika.reactivefeign:feign-reactor-spring-configuration-test,true
com.payu:payu-public,true
com.pojosontheweb:woko-compass-hibernate-core,true
com.pettyfox.timeline:timeline-core,true
com.pi4j:pi4j-test,true
com.pig4cloud:pigx-common-minio,true
com.perelens:perelens-engine-api,true
com.pekinsoft:WizardAPI,true
com.pig4cloud.plugin:datav-build-plugin,true
com.pnxtest:pnx-test-starter-parent,true
com.peterphi.std.guice:stdlib-guice-freemarker,true
com.pig4cloud.plugin:oss-spring-boot-starter,true
com.pi4j:pi4j-plugin-mock,true
com.petercipov:traces-api,true
com.pontusvision:janusgraph-lucene,true
com.pig4cloud:pigx-common-transaction,true
com.pontusvision:janusgraph-cassandra,true
com.pojosontheweb:woko-ri,true
com.pentahohub.nexus:nexus-qrcode,true
com.pojosontheweb:woko-blobs-core,true
com.pig4cloud.plugin:xsequence-core,true
com.paystack.android:paystack-ui,true
com.peterphi.std.index:index-server,true
com.playtika.reactivefeign:feign-reactor-server-configurations,true
com.payneteasy.superfly:superfly-remote-api,true
com.pontusvision:janusgraph-hadoop-parent,true
